erezaugtanẽpo	ere zaug tanẽpo
ibaʔeraɨmãʔẽ	ibaʔera ɨ mãʔẽ
manasipo	ma na sipo
oeronan	oero nan
orereɲ	ore re ɲ
anũpãtar	a nũpãtar
poroiruwo	poro iru wo
eredʒuwedʒ	ere dʒu wedʒ
ezo	e zo
tata	ta ta
pureruraʔɨr	pure ru raʔɨr
tarawadʒam	ta rawadʒam
nõdekuruo	nõde kuru o
nõdebaʔemãʔẽkotɨ	nõdebaʔe mãʔẽ kotɨ
topaʔam	to paʔ am
tazar	ta zar
wãĩwĩkom	wãĩw ĩ kom
baipuri	ba ipuri
kʷehe	kʷ ehe
nõdeʔaragatu	nõde ʔar agatu
arasuka	ara su ka
pewɨkəko	pewɨ kə ko
zoehe	zo ehe
nõderapɨdʒ	nõde ra pɨdʒ
zadʒapɨakakom	zadʒapɨak a kom
omõgaʔu	omõga ʔu
dereibawesipo	de reiba wesipo
pakupitaŋakom	paku pitaŋ akom
eʔira	e ʔi ra
perupi	pe rupi
porozikaharate	poro zika harate
wɨrarehe	wɨra rehe
kɨwonẽ	kɨwo nẽ
ɨwɨ	ɨ wɨ
kobtar	kob tar
sĩkãĩ	sĩ kãĩ
manãto	ma nã to
kosokosog	kosoko so g
pɨa	pɨ a
pitakom	pi ta kom
awurehe	awu rehe
baʔekomarehe	baʔe komarehe
zeburupa	ze buru pa
oibao	o iba o
karaɨ	kara ɨ
ʔɨ	ʔɨ
wareʔeteaʔu	wa re ʔeteaʔu
seg	se g
pirakomarehe	pi ra komarehe
wɨrakarakotɨ	wɨraka ra kotɨ
oporahadʒ	o po rahadʒ
deruɨar	de ru ɨar
rehe	rehe
amõenam	amõ enam
ahotar	a ho tar
dosuʔutarinam	dosu ʔu tarinam
ipuriweʔe	ipu ri weʔe
ewurana	e wur ana
zamãʔẽũwã	za mãʔẽ ũwã
kɨwo	kɨwo
renékotɨ	re né kotɨ
awarapɨdʒato	awa ra pɨdʒato
sikãĩnũwã	si kãĩ nũwã
tãõwãpo	tã õwãpo
zozoga	zozoga
okʷa	o kʷa
nõdebaʔe	nõde baʔe
pir	pir
pureru	pure ru
ekotɨ	e kotɨ
kopope	ko pope
akaʔa	aka ʔa
ko	ko
zate	za te
oapararaha	o a pararaha
oeroʔar	oero ʔar
pinãngala	pi nã ngala
damãʔẽtaraɨdʒi	da mãʔẽ taraɨdʒi
zawararehe	zawa ra rehe
ebɨgoŋ	e b ɨgoŋ
baʔehar	baʔe har
ibaʔekom	i baʔe kom
zatarawadʒ	za ta rawadʒ
mamã	ma mã
sinamaripori	sinamari pori
kobnẽ	kob nẽ
owɨg	o wɨ g
akʷaɲ	a kʷa ɲ
ebotenam	e bote nam
wɨrakaranũwã	wɨraka ra nũwã
wɨɲakom	wɨɲ akom
ipoɨdjpɨlɨ	ipo ɨdj pɨlɨ
oituĩtun	oi tu ĩtun
okoar	o koar
