erezaugtanẽpo	erezaug tanẽ po
ibaʔeraɨmãʔẽ	ibaʔeraɨ mãʔẽ
manasipo	mana sipo
oeronan	oer onan
orereɲ	o r ereɲ
anũpãtar	anũpã tar
poroiruwo	por oiru wo
eredʒuwedʒ	eredʒu we dʒ
ezo	ezo
tata	tata
pureruraʔɨr	pureru raʔɨr
tarawadʒam	tarawadʒ am
nõdekuruo	nõde kuruo
nõdebaʔemãʔẽkotɨ	nõde baʔe mãʔẽkotɨ
topaʔam	to paʔam
tazar	ta zar
wãĩwĩkom	wãĩwĩ kom
baipuri	baipuri
kʷehe	kʷ ehe
nõdeʔaragatu	nõde ʔara gatu
arasuka	ara su ka
pewɨkəko	pe wɨkəko
zoehe	zo ehe
nõderapɨdʒ	nõde rapɨdʒ
zadʒapɨakakom	za dʒapɨaka kom
omõgaʔu	omõg aʔu
dereibawesipo	de reiba we sipo
pakupitaŋakom	paku pitaŋ akom
eʔira	eʔi ra
perupi	pe rupi
porozikaharate	poro zikahara te
wɨrarehe	wɨra rehe
kɨwonẽ	kɨwo nẽ
ɨwɨ	ɨwɨ
kobtar	kob tar
sĩkãĩ	sĩ kãĩ
manãto	manã to
kosokosog	ko so ko so g
pɨa	pɨa
pitakom	pitakom
awurehe	awu rehe
baʔekomarehe	baʔe komarehe
zeburupa	zeburupa
oibao	o ibao
karaɨ	karaɨ
ʔɨ	ʔɨ
wareʔeteaʔu	war eʔe te aʔu
seg	se g
pirakomarehe	pir a komarehe
wɨrakarakotɨ	wɨrakara kotɨ
oporahadʒ	oporahadʒ
deruɨar	deru ɨar
rehe	rehe
amõenam	amõ enam
ahotar	a hotar
dosuʔutarinam	do suʔu tari nam
ipuriweʔe	ipuri weʔe
ewurana	e wur ana
zamãʔẽũwã	zamãʔẽũwã
kɨwo	kɨwo
renékotɨ	renékotɨ
awarapɨdʒato	awa rapɨdʒa to
sikãĩnũwã	sikãĩ nũwã
tãõwãpo	t ã õwã po
zozoga	zozoga
okʷa	o kʷa
nõdebaʔe	nõde baʔe
pir	pir
pureru	pureru
ekotɨ	ekotɨ
kopope	ko pope
akaʔa	akaʔa
ko	ko
zate	za te
oapararaha	o a pararaha
oeroʔar	oer o ʔar
pinãngala	pi nãngala
damãʔẽtaraɨdʒi	da mãʔẽtaraɨdʒi
zawararehe	zawar arehe
ebɨgoŋ	ebɨg oŋ
baʔehar	baʔe har
ibaʔekom	ibaʔe kom
zatarawadʒ	za tarawadʒ
mamã	mamã
sinamaripori	si nam ari pori
kobnẽ	kob nẽ
owɨg	o wɨg
akʷaɲ	a kʷa ɲ
ebotenam	e bo te nam
wɨrakaranũwã	wɨrakara nũwã
wɨɲakom	wɨɲa kom
ipoɨdjpɨlɨ	ipoɨdj pɨlɨ
oituĩtun	oituĩtun
okoar	o koar
sẽswawanakom	s ẽs wawan akom
niwe	n i we
opukudʒ	o pu kudʒ
