erezaugtanẽpo	ere zaugt anẽ po
ibaʔeraɨmãʔẽ	i baʔe raɨ mãʔẽ
manasipo	ma na sipo
oeronan	o ero nan
orereɲ	o rere ɲ
anũpãtar	a nũpã tar
poroiruwo	poro iru wo
eredʒuwedʒ	ere dʒu wedʒ
ezo	e zo
tata	ta ta
pureruraʔɨr	pu reru raʔɨr
tarawadʒam	ta rawadʒ am
nõdekuruo	nõde kuru o
nõdebaʔemãʔẽkotɨ	nõde baʔe mãʔẽ kotɨ
topaʔam	to paʔ am
tazar	ta zar
wãĩwĩkom	wãĩ wĩ kom
baipuri	bai puri
kʷehe	kʷ ehe
nõdeʔaragatu	nõde ʔara gatu
arasuka	a ra suka
pewɨkəko	pe wɨkə ko
zoehe	zo ehe
nõderapɨdʒ	nõde rapɨdʒ
zadʒapɨakakom	za dʒapɨaka kom
omõgaʔu	omõ gaʔu
dereibawesipo	de reiba we sipo
pakupitaŋakom	paku pitaŋ akom
eʔira	e ʔi ra
perupi	pe rupi
porozikaharate	poro zika har ate
wɨrarehe	wɨra rehe
kɨwonẽ	kɨ wo nẽ
ɨwɨ	ɨ wɨ
kobtar	ko b tar
sĩkãĩ	sĩ kãĩ
manãto	ma nã to
kosokosog	kosoko so g
pɨa	pɨ a
pitakom	pitakom
awurehe	awu rehe
baʔekomarehe	baʔe kom arehe
zeburupa	zeburupa
oibao	o iba o
karaɨ	karaɨ
ʔɨ	ʔɨ
wareʔeteaʔu	war eʔe te aʔu
seg	se g
pirakomarehe	pi ra kom arehe
wɨrakarakotɨ	wɨra kara kotɨ
oporahadʒ	o porahadʒ
deruɨar	de ru ɨar
rehe	rehe
amõenam	a mõ enam
ahotar	a ho tar
dosuʔutarinam	do suʔu tari nam
ipuriweʔe	i puri we ʔe
ewurana	e wur ana
zamãʔẽũwã	za mãʔẽ ũwã
kɨwo	kɨ wo
renékotɨ	rené kotɨ
awarapɨdʒato	awa rapɨdʒ ato
sikãĩnũwã	si kãĩ nũwã
tãõwãpo	tãõ wãpo
zozoga	zo zo ga
okʷa	o kʷa
nõdebaʔe	nõde baʔe
pir	pi r
pureru	pu reru
ekotɨ	e kotɨ
kopope	ko pope
akaʔa	a ka ʔa
ko	ko
zate	z ate
oapararaha	o apararaha
oeroʔar	o ero ʔar
pinãngala	pi nãnga la
damãʔẽtaraɨdʒi	da mãʔẽ tar aɨdʒi
zawararehe	za wara rehe
ebɨgoŋ	e bɨ g oŋ
baʔehar	baʔe har
ibaʔekom	i baʔe kom
zatarawadʒ	za ta rawadʒ
mamã	ma m ã
sinamaripori	si namari pori
kobnẽ	ko b nẽ
owɨg	o wɨg
akʷaɲ	a kʷa ɲ
ebotenam	e bote nam
wɨrakaranũwã	wɨra kara nũwã
wɨɲakom	wɨɲ a kom
ipoɨdjpɨlɨ	i poɨdj pɨlɨ
oituĩtun	o i tuĩtu n
okoar	o koar
