erezaugtanẽpo	ere zaugta nẽpo
ibaʔeraɨmãʔẽ	i baʔeraɨ mãʔẽ
manasipo	ma na sipo
oeronan	oero nan
orereɲ	o rere ɲ
anũpãtar	a nũpã tar
poroiruwo	poro iru wo
eredʒuwedʒ	ere dʒu wedʒ
ezo	e zo
tata	ta ta
pureruraʔɨr	pure ru raʔɨr
tarawadʒam	tarawadʒ am
nõdekuruo	nõde kuru o
nõdebaʔemãʔẽkotɨ	nõde baʔe mãʔẽkotɨ
topaʔam	to paʔam
tazar	ta zar
wãĩwĩkom	wãĩ wĩ kom
baipuri	bai puri
kʷehe	kʷ ehe
nõdeʔaragatu	nõde ʔara gatu
arasuka	a rasuka
pewɨkəko	pe wɨkə ko
zoehe	zo ehe
nõderapɨdʒ	nõde rapɨdʒ
zadʒapɨakakom	za dʒapɨaka kom
omõgaʔu	omõ gaʔu
dereibawesipo	de reibawesipo
pakupitaŋakom	pa ku pi taŋ akom
eʔira	e ʔi ra
perupi	pe rupi
porozikaharate	poro zika harate
wɨrarehe	wɨra rehe
kɨwonẽ	kɨ wo nẽ
ɨwɨ	ɨwɨ
kobtar	kob tar
sĩkãĩ	sĩ kãĩ
manãto	ma nã to
kosokosog	kosokosog
pɨa	pɨ a
pitakom	pi ta kom
awurehe	awu rehe
baʔekomarehe	baʔe komarehe
zeburupa	zeburupa
oibao	o iba o
karaɨ	kara ɨ
ʔɨ	ʔɨ
wareʔeteaʔu	war eʔete a ʔu
seg	se g
pirakomarehe	pi ra komarehe
wɨrakarakotɨ	wɨrakara kotɨ
oporahadʒ	o porahadʒ
deruɨar	de ru ɨar
rehe	rehe
amõenam	a mõ enam
ahotar	a ho tar
dosuʔutarinam	do suʔutari nam
ipuriweʔe	i puri weʔe
ewurana	e wur ana
zamãʔẽũwã	za mãʔẽ ũwã
kɨwo	kɨ wo
renékotɨ	rené kotɨ
awarapɨdʒato	a war a pɨdʒa to
sikãĩnũwã	si kãĩ nũwã
tãõwãpo	tã õwãpo
zozoga	zo zoga
okʷa	o kʷa
nõdebaʔe	nõde baʔe
pir	pir
pureru	pure ru
ekotɨ	e kotɨ
kopope	ko pope
akaʔa	a kaʔa
ko	ko
zate	za te
oapararaha	oa pararaha
oeroʔar	oero ʔar
pinãngala	pi nãngala
damãʔẽtaraɨdʒi	da mãʔẽtaraɨ dʒi
zawararehe	za wara rehe
ebɨgoŋ	ebɨ g oŋ
baʔehar	baʔe har
ibaʔekom	i baʔe kom
zatarawadʒ	za tarawadʒ
mamã	ma m ã
sinamaripori	si namari pori
kobnẽ	kob nẽ
owɨg	o wɨg
akʷaɲ	a kʷa ɲ
ebotenam	e bote nam
wɨrakaranũwã	wɨrakara nũwã
wɨɲakom	wɨ ɲa kom
ipoɨdjpɨlɨ	i poɨdj pɨlɨ
oituĩtun	oitu ĩ tun
okoar	o koar
sẽswawanakom	sẽswawa na kom
