erezaugtanẽpo	ere zaug tanẽpo
ibaʔeraɨmãʔẽ	iba ʔeraɨ mãʔẽ
manasipo	m ana sipo
oeronan	oero nan
orereɲ	o rere ɲ
anũpãtar	a nũpã tar
poroiruwo	poro iru wo
eredʒuwedʒ	ere dʒu wedʒ
ezo	e zo
tata	ta ta
pureruraʔɨr	purerur aʔɨr
tarawadʒam	tarawa dʒam
nõdekuruo	nõde kuru o
nõdebaʔemãʔẽkotɨ	nõdebaʔe mãʔẽ kotɨ
topaʔam	to paʔa m
tazar	ta zar
wãĩwĩkom	wã ĩwĩ kom
baipuri	ba ipuri
kʷehe	kʷ ehe
nõdeʔaragatu	nõde ʔara gatu
arasuka	ara suka
pewɨkəko	pe wɨk əko
zoehe	zo ehe
nõderapɨdʒ	nõde rapɨdʒ
zadʒapɨakakom	za dʒapɨaka kom
omõgaʔu	omõ gaʔu
dereibawesipo	de reibawe sipo
pakupitaŋakom	paku pitaŋ akom
eʔira	eʔi ra
perupi	pe rupi
porozikaharate	poro zikahar ate
wɨrarehe	wɨra rehe
kɨwonẽ	k ɨwo nẽ
ɨwɨ	ɨw ɨ
kobtar	kob tar
sĩkãĩ	sĩ kãĩ
manãto	manã to
kosokosog	ko sokos og
pɨa	pɨ a
pitakom	pi ta kom
awurehe	awu rehe
baʔekomarehe	baʔe komarehe
zeburupa	z eburupa
oibao	o iba o
karaɨ	k ara ɨ
ʔɨ	ʔɨ
wareʔeteaʔu	war eʔe teaʔu
seg	s e g
pirakomarehe	pi ra komarehe
wɨrakarakotɨ	wɨraka rakotɨ
oporahadʒ	o poraha dʒ
deruɨar	de ru ɨar
rehe	rehe
amõenam	a mõ enam
ahotar	a hotar
dosuʔutarinam	do suʔutari nam
ipuriweʔe	ipuri weʔe
ewurana	e wur ana
zamãʔẽũwã	za mãʔẽ ũwã
kɨwo	k ɨwo
renékotɨ	rené kotɨ
awarapɨdʒato	awa rapɨdʒ ato
sikãĩnũwã	si kãĩ nũwã
tãõwãpo	tãõwã po
zozoga	z ozoga
okʷa	o kʷa
nõdebaʔe	nõde baʔe
pir	pir
pureru	pure ru
ekotɨ	e kotɨ
kopope	ko pope
akaʔa	a ka ʔa
ko	k o
zate	za te
oapararaha	o apararah a
oeroʔar	oero ʔar
pinãngala	pinãn gala
damãʔẽtaraɨdʒi	damãʔẽ tar aɨdʒi
zawararehe	zawa ra rehe
ebɨgoŋ	eb ɨ goŋ
baʔehar	baʔe har
ibaʔekom	i baʔe kom
zatarawadʒ	za tarawa dʒ
mamã	ma m ã
sinamaripori	si nam aripori
kobnẽ	kob nẽ
owɨg	o wɨg
akʷaɲ	a kʷa ɲ
ebotenam	eb ot enam
wɨrakaranũwã	wɨraka ranũwã
wɨɲakom	wɨɲa kom
ipoɨdjpɨlɨ	i poɨdj pɨlɨ
oituĩtun	o ituĩtun
okoar	o koar
