erezaugtanẽpo	ere zaugtanẽpo
ibaʔeraɨmãʔẽ	i baʔeraɨ mãʔẽ
manasipo	ma na sipo
oeronan	oero nan
orereɲ	o rere ɲ
anũpãtar	a nũpã tar
poroiruwo	poro iru wo
eredʒuwedʒ	ere dʒuwe dʒ
ezo	e zo
tata	ta ta
pureruraʔɨr	pure ru raʔɨr
tarawadʒam	tarawadʒ am
nõdekuruo	nõde kuruo
nõdebaʔemãʔẽkotɨ	nõde baʔemãʔẽkotɨ
topaʔam	to paʔam
tazar	ta zar
wãĩwĩkom	wãĩ wĩ kom
baipuri	ba ipuri
kʷehe	kʷ ehe
nõdeʔaragatu	nõde ʔara gatu
arasuka	arasuka
pewɨkəko	pewɨkəko
zoehe	zo ehe
nõderapɨdʒ	nõde rapɨdʒ
zadʒapɨakakom	za dʒapɨaka kom
omõgaʔu	omõgaʔu
dereibawesipo	de reibawe sipo
pakupitaŋakom	paku pitaŋ akom
eʔira	e ʔi ra
perupi	pe rupi
porozikaharate	poro zikahar ate
wɨrarehe	wɨra rehe
kɨwonẽ	kɨwo nẽ
ɨwɨ	ɨwɨ
kobtar	kob tar
sĩkãĩ	sĩ kãĩ
manãto	ma nã to
kosokosog	kosoko so g
pɨa	pɨ a
pitakom	pita kom
awurehe	awu rehe
baʔekomarehe	baʔe komarehe
zeburupa	zeburupa
oibao	o iba o
karaɨ	karaɨ
ʔɨ	ʔɨ
wareʔeteaʔu	wareʔetea ʔu
seg	se g
pirakomarehe	pira komarehe
wɨrakarakotɨ	wɨrakara kotɨ
oporahadʒ	o porahadʒ
deruɨar	de ru ɨar
rehe	rehe
amõenam	a mõ enam
ahotar	a hotar
dosuʔutarinam	do suʔutari nam
ipuriweʔe	ipuri weʔe
ewurana	e wu rana
zamãʔẽũwã	za mãʔẽ ũwã
kɨwo	kɨwo
renékotɨ	rené kotɨ
awarapɨdʒato	awa rapɨdʒa to
sikãĩnũwã	si kãĩ nũwã
tãõwãpo	tã õwãpo
zozoga	zozoga
okʷa	o kʷa
nõdebaʔe	nõde baʔe
pir	pi r
pureru	pure ru
ekotɨ	e kotɨ
kopope	ko pope
akaʔa	akaʔa
ko	ko
zate	za te
oapararaha	o a pararaha
oeroʔar	oero ʔar
pinãngala	pinãngala
damãʔẽtaraɨdʒi	da mãʔẽtaraɨ dʒi
zawararehe	za wa rarehe
ebɨgoŋ	e bɨg oŋ
baʔehar	baʔehar
ibaʔekom	i baʔe kom
zatarawadʒ	za tarawadʒ
mamã	ma mã
sinamaripori	si namari pori
kobnẽ	kob nẽ
owɨg	o wɨg
akʷaɲ	a kʷa ɲ
ebotenam	e bote nam
wɨrakaranũwã	wɨrakara nũwã
wɨɲakom	wɨɲa kom
ipoɨdjpɨlɨ	i poɨdj pɨlɨ
oituĩtun	oituĩ tu n
okoar	o koar
sẽswawanakom	sẽswawa nakom
niwe	n i we
